timestamp,open,high,low,close,volume
2019-11-19,0.3500,0.3500,0.3500,0.3500,300
2019-11-18,0.3400,0.3400,0.3400,0.3400,1100
2019-11-11,0.3001,0.3300,0.3001,0.3284,16400
2019-11-08,0.3200,0.3200,0.3200,0.3200,1000
2019-11-06,0.3300,0.3300,0.3300,0.3300,100
2019-11-05,0.3200,0.3200,0.3200,0.3200,1000
2019-11-04,0.3201,0.3201,0.3200,0.3200,10400
2019-11-01,0.3400,0.3400,0.3300,0.3300,1200
2019-10-31,0.3500,0.3500,0.3500,0.3500,12000
2019-10-18,0.3300,0.3300,0.3300,0.3300,20500
2019-10-17,0.3400,0.3400,0.3400,0.3400,200
2019-10-16,0.3200,0.3200,0.3200,0.3200,1000
2019-10-07,0.3000,0.3200,0.2900,0.3001,11395
2019-10-02,0.3000,0.3100,0.2750,0.3100,150700
2019-10-01,0.3300,0.3300,0.3300,0.3300,500
2019-09-30,0.3500,0.3500,0.3500,0.3500,162395
2019-09-27,0.3101,0.3101,0.2600,0.2700,23402
2019-09-16,0.3200,0.3200,0.3200,0.3200,3770
2019-09-13,0.3300,0.3300,0.3300,0.3300,24000
2019-09-12,0.3400,0.3400,0.3400,0.3400,3000
2019-08-22,0.3400,0.3400,0.3400,0.3400,3500
2019-08-21,0.3400,0.3400,0.3400,0.3400,100
2019-08-16,0.3100,0.3200,0.3001,0.3200,4100
2019-08-15,0.3001,0.3144,0.3001,0.3144,1900
2019-08-07,0.3300,0.3300,0.3100,0.3100,3400
2019-08-05,0.3200,0.3200,0.3200,0.3200,5500
2019-07-31,0.3200,0.3200,0.3200,0.3200,200
2019-07-29,0.3300,0.3300,0.3300,0.3300,304
2019-07-25,0.3500,0.3500,0.3500,0.3500,100
2019-07-22,0.3300,0.3300,0.3000,0.3000,10904
2019-07-19,0.3000,0.3400,0.2000,0.3400,1600
2019-07-18,0.3000,0.3000,0.3000,0.3000,5500
2019-07-17,0.3300,0.3300,0.3300,0.3300,13445
2019-07-08,0.3300,0.3400,0.3300,0.3400,11250
2019-07-05,0.3400,0.3400,0.3400,0.3400,100
2019-07-03,0.3000,0.3000,0.3000,0.3000,500
2019-06-24,0.2900,0.2900,0.2900,0.2900,7100
2019-06-21,0.3200,0.3200,0.2900,0.2900,1500
2019-06-20,0.3300,0.3300,0.3200,0.3200,3400
2019-06-19,0.3200,0.3200,0.3200,0.3200,1000
2019-06-18,0.3200,0.3200,0.3200,0.3200,1000
2019-06-07,0.3200,0.3200,0.3200,0.3200,10195
2019-06-03,0.3300,0.3300,0.3300,0.3300,100
2019-05-30,0.3400,0.3500,0.3400,0.3500,400
2019-05-29,0.3400,0.3400,0.3400,0.3400,400
2019-05-28,0.3500,0.3500,0.3500,0.3500,400
2019-05-24,0.3500,0.3600,0.3300,0.3600,500
2019-05-20,0.3600,0.3600,0.3500,0.3500,20200
2019-05-17,0.3500,0.3500,0.3500,0.3500,11500
2019-05-10,0.3500,0.3500,0.3500,0.3500,48000
2019-05-09,0.3600,0.3600,0.3500,0.3500,2000
2019-05-08,0.3301,0.3301,0.3300,0.3300,50000
2019-05-01,0.3300,0.3300,0.3300,0.3300,400
2019-04-22,0.3300,0.3500,0.3300,0.3500,600
2019-04-16,0.3285,0.3285,0.3200,0.3200,6700
2019-04-08,0.3000,0.3000,0.3000,0.3000,1000
2019-04-04,0.3000,0.3100,0.3000,0.3001,123400
2019-03-26,0.2800,0.2800,0.2800,0.2800,4950
2019-03-25,0.2800,0.2801,0.2800,0.2800,131914
2019-03-22,0.2800,0.2800,0.2800,0.2800,90500
2019-03-20,0.2800,0.2800,0.2800,0.2800,3200
2019-03-19,0.3000,0.3000,0.2800,0.2800,67500
2019-03-18,0.2700,0.3000,0.2700,0.3000,68200
2019-03-14,0.2900,0.2900,0.2900,0.2900,19100
2019-03-12,0.3200,0.3200,0.3200,0.3200,93700
2019-03-11,0.3000,0.3000,0.3000,0.3000,15000
2019-03-07,0.2900,0.3010,0.2900,0.3000,580100
2019-03-01,0.2900,0.2900,0.2900,0.2900,180900
2019-02-25,0.2900,0.2900,0.2900,0.2900,1300
2019-02-07,0.2900,0.2900,0.2900,0.2900,3100
2019-02-06,0.3199,0.3199,0.2650,0.2900,1119200
2019-02-05,0.3208,0.3208,0.2600,0.2700,47600
2019-02-04,0.3200,0.3200,0.3200,0.3200,5000
2019-02-01,0.3300,0.3300,0.3300,0.3300,45100
2019-01-29,0.3200,0.3200,0.3200,0.3200,5000
2019-01-28,0.3500,0.3500,0.3500,0.3500,5000
2019-01-24,0.3500,0.3500,0.3500,0.3500,10000
